The Ada News,www.theadanews.com
Poteau Daily News,Dead Wiki Link
Prague Times Herald,No URL Found
Pryor Daily Times,http://www.pryordailytimes.com
Purcell Register,Dead Wiki Link
Ringling Eagle,No URL Found
Rush Springs Gazette,No URL Found
Ryan Leader,No URL Found
Sands Springs Leader,Dead Wiki Link
Sapulpa Daily Herald,http://sapulpabuzz.com
Sayre Record & Beckham County Democrat,Dead Wiki Link
Seminole Producer,http://www.seminoleproducer.com/
Sentinel Leader,Dead Wiki Link
Sequoyah County Times,Dead Wiki Link
Shawnee News-Star,http://www.news-star.com/
Shidler Review,No URL Found
Skiatook Journal,http://www.skiatookjournal.com
Sooner Catholic,http://archokc.org/sooner-catholic
Southeast Times,No URL Found
Spiro Graphic,No URL Found
Stigler News Sentinel,Dead Wiki Link
The Stillwater News-Press,http://www.stwnewspress.com
Stilwell Democrat Journal,Dead Wiki Link
Stroud American,Dead Wiki Link
Sulphur Times Democrat,https://www.sulphurtimes.com/
Tahlequah Daily Press,http://www.tahlequahdailypress.com
Talihina American,No URL Found
Taloga Times Advocate,No URL Found
Tecumseh Countywide News,Dead Wiki Link
This Land,URL Not Found
Thomas Tribune,Dead Wiki Link
Tinker Takeoff,https://www.tinkertakeoff.com/
Tonkawa News,No URL Found
Tulsa Business Journal,Dead Wiki Link
Tulsa World[5],https://tulsaworld.com/
Tuttle Times,Dead Wiki Link
University of Tulsa Collegian,http://tucollegian.org
Urban Tulsa Weekly,http://www.urbantulsa.com
The US Inquirer,https://www.us-inquirer.com/
Valliant Leader,No URL Found
Vian Tenkiller News,No URL Found
Vici Vision,No URL Found
Vinita Daily Journal,Dead Wiki Link
The Vista,Dead Wiki Link
Wagoner Tribune,http://www.wagonertribune.com
Wakita Herald,No URL Found
Walters Herald,No URL Found
Washita County Enterprise,No URL Found
Washita Valley Weekly,No URL Found
Watonga Republican,Dead Wiki Link
Waurika News-Democrat,Dead Wiki Link
Weleetka Weleetkan,No URL Found
Westville Reporter,No URL Found
Westville Weekly Times,No URL Found
Wewoka Times,No URL Found
Weatherford Daily News,http://www.wdnonline.com
Wilson Post Democrat,No URL Found
Woods County Enterprise,No URL Found
Woodward News,http://woodwardnews.net
Wynnewood Gazette,No URL Found
Yale News,Dead Wiki Link
Yukon Review,http://www.yukonreview.net
Cokv Tvlvme,No URL Found
