Abilene Reporter-News,http://reporternews.com/
Hill Country Community Journal,Dead Wiki Link
Hill Country News,Dead Wiki Link
Hill Country Sun,Dead Wiki Link
Hometown News,Dead Wiki Link
Hondo Anvil-Herald,Dead Wiki Link
Hood County News,http://hcnews.com/
Houston Business Journal,http://acbj.com/
Houston Chronicle,http://HoustonChronicle.com
Houston County Courier,URL Not Found
The Houston Press,http://houstonpress.com
The Hunt County Shopper,No URL Found
The Huntsville Item,http://www.itemonline.com
Jack County Herald,Dead Wiki Link
Jacksboro Gazette-News,Dead Wiki Link
Jacksonville Daily Progress,http://www.jacksonvilleprogress.com
Jasper Newsboy,URL Not Found
Jeff Davis County Mountain Dispatch,Dead Wiki Link
Jefferson Jimplecute,https://www.jimplecute.com
Jewish Herald-Voice,http://jhvonline.com/
Johnson City Record Courier,Dead Wiki Link
Junction Eagle,Dead Wiki Link
The Katy Times,http://katytimes.com
The Katy Trail Weekly,Unhandled
Kerrville Daily Times,http://dailytimes.com/
Kilgore News Herald,http://www.kilgorenewsherald.com
Killeen Daily Herald,http://www.kdhnews.com/
Lake Cities Sun,Dead Wiki Link
Lake Country Sun,Dead Wiki Link
Lake Travis View,http://www.statesman.com/
Lampasas Dispatch Record,Dead Wiki Link
Laredo Morning Times,http://www.lmtonline.com/
The Leader,URL Not Found
The Leader News,Dead Wiki Link
Leonard Graphic,Dead Wiki Link
Lewisville Leader,Dead Wiki Link
Lexington Leader,http://www.kentucky.com/
The Light & Champion,Dead Wiki Link
Lindale News & Times,Dead Wiki Link
Little Elm Journal,Dead Wiki Link
The Lindsay Letter,Dead Wiki Link
The Llano County Journal,Dead Wiki Link
The Llano News,Dead Wiki Link
Lockhart Post-Register,Dead Wiki Link
Longview News-Journal,https://www.news-journal.com/
Lubbock Avalanche-Journal,http://www.lubbockonline.com/
The Lufkin Daily News,http://www.lufkindailynews.com/
Lynn County News,Dead Wiki Link
Lytle Leader News,Dead Wiki Link
Malakoff News,Dead Wiki Link
Manvel Reporter News,Dead Wiki Link
Marion County Herald,http://www.marioncoherald.com
Marlin Democrat,URL Not Found
The Marshall News Messenger,http://www.marshallnewsmessenger.com/
Mart Messenger,Dead Wiki Link
Mason County News,Dead Wiki Link
McGregor Mirror & Crawford Sun,Dead Wiki Link
McKinney Courier-Gazette,http://starlocalmedia.com/mckinneycouriergazette/
Medina Valley Times,Dead Wiki Link
Mega Doctor News,Dead Wiki Link
Mesquite News,Dead Wiki Link
Mexia News,http://www.mexiadailynews.com
Meximerica Media,Dead Wiki Link
Midland Reporter-Telegram,http://mrt.com
Midlothian Mirror,Dead Wiki Link
Mineola Monitor,No URL Found in infobox
Mineral Wells Index,http://mineralwellsindex.com/
The Monitor,https://myrgv.com/category/the-monitor/
Moore County News-Press,Dead Wiki Link
Mount Pleasant Daily Tribune,No URL Found in infobox
Mount Vernon Optic-Herald,Dead Wiki Link
The Muenster Enterprise,Dead Wiki Link
The National Outreach,Dead Wiki Link
New Braunfels Herald-Zeitung,http://herald-zeitung.com/
North Central News,Dead Wiki Link
Northeast Herald,Dead Wiki Link
Northwest Weekly,Dead Wiki Link
Nueces County Record Star,Dead Wiki Link
Odessa American,http://www.oaoa.com/
O'Donnell Index-Press,Dead Wiki Link
The Olney Enterprise,Dead Wiki Link
The Olton Enterprise,Dead Wiki Link
The Orange Leader,http://www.orangeleader.com
The Ozona Stockman,Dead Wiki Link
Palestine Herald-Press,http://www.palestineherald.com
The Pampa News,http://thepampanews.com/pages/
Panola Watchman,Dead Wiki Link
The Paris News,http://theparisnews.com/
Pasadena Citizen,Dead Wiki Link
Pearland Journal,Dead Wiki Link
Pearland Reporter News,Dead Wiki Link
Pecos Enterprise,Dead Wiki Link
Pflugerville Pflag,http://www.statesman.com/
Pilot Point Post-Signal,http://postsignal.com
Pittsburg Gazette,Dead Wiki Link
Plainview Daily Herald,http://www.myplainview.com/
Plano Star Courier,Dead Wiki Link
Pleasanton Express,Dead Wiki Link
Polk County Enterprise,Dead Wiki Link
The Port Arthur News,http://www.panews.com
Post Dispatch,Dead Wiki Link
Public News,http://publicnews.com
Que Onda - Houston,Dead Wiki Link
Raymondville Chronicle/Willacy County News,Dead Wiki Link
Riesel Rustler,Dead Wiki Link
River Cities Daily Tribune,Dead Wiki Link
Robertson County News,Dead Wiki Link
Rocksprings Record,Dead Wiki Link
Rosebud News,Dead Wiki Link
The Round Rock Leader,http://www.statesman.com/
Rowlett Lakeshore Times,Dead Wiki Link
Runnels County Register,Dead Wiki Link
Standard-Times,http://gosanangelo.com/
San Antonio Business Journal[2],http://acbj.com/
San Antonio Current,http://sacurrent.com
San Antonio Express-News[2],http://expressnews.com
San Antonio Light,http://expressnews.com
San Antonio Lightning Newspaper,Dead Wiki Link
San Jacinto Newstimes,Dead Wiki Link
San Marcos Daily Record,http://www.sanmarcosrecord.com
The San Saba County Review,Dead Wiki Link
San Saba News & Star,Dead Wiki Link
The Schulenburg Sticker,http://www.schulenburgsticker.com
The Seguin Gazette-Enterprise,http://seguingazette.com/
Seminole Sentinel,Dead Wiki Link
The Silsbee Bee,Dead Wiki Link
The Smithville Times,http://www.statesman.com/
Snyder Daily News,Dead Wiki Link
Southlake Times,Dead Wiki Link
Southside Reporter,Dead Wiki Link
Stephenville Empire-Tribune,Dead Wiki Link
Stonewall County Courier,Dead Wiki Link
Suburbia News,Dead Wiki Link
Sulphur Springs News-Telegram,Dead Wiki Link
Sunnyvale View,Dead Wiki Link
Sweetwater Reporter,http://www.sweetwaterreporter.com
The Swisher County News,Dead Wiki Link
Taylor Daily Press,http://www.taylorpress.net/
Teague Chronicle,Dead Wiki Link
Temple Daily Telegram,http://www.tdtnews.com
The Terrell Tribune,Dead Wiki Link
Texarkana Gazette,http://www.texarkanagazette.com/
Texas Border Business,Dead Wiki Link
The Texas Spur,https://www.TheTexasSpur.com
Times Record News,http://timesrecordnews.com
Today's Catholic,Dead Wiki Link
Tri County Leader,Dead Wiki Link
The Tribune,http://baycitytribune.com/
The Tribune,Dead Wiki Link
Trinity Standard,https://www.trinityhouse.co.uk
Tyler County Booster,Dead Wiki Link
Tyler Morning Telegraph,https://tylerpaper.com/
Uvalde Leader News,Dead Wiki Link
Valley Morning Star,https://myrgv.com/category/valley-morning-star/
Valley Town Crier,Dead Wiki Link
Vernon Daily Record,Dead Wiki Link
The Victoria Advocate,http://www.victoriaadvocate.com/
Von Ormy Star,Dead Wiki Link
La Voz de Houston,URL Not Found
Waco Citizen,Dead Wiki Link
Waco Tribune-Herald,http://wacotrib.com
Waxahachie Daily Light,https://www.waxahachietx.com/
Weatherford Democrat,http://www.weatherforddemocrat.com
West Austin News,Dead Wiki Link
The West News,Dead Wiki Link
Western Observer,Dead Wiki Link
Westlake Picayune,http://www.statesman.com/
Wharton Journal-Spectator,http://www.journal-Spectator.com
White Oak Independent,Dead Wiki Link
White Rock Lake Weekly,Unhandled
Whitesboro News-Record,Dead Wiki Link
The Wilson County News,Dead Wiki Link
Winnsboro News,https://thewinnsboronews.com/
Wise County Messenger,Dead Wiki Link
Wood County Democrat,http://woodcountymonitor.com
Yoakum Herald-Times,Dead Wiki Link
The 380 News,Dead Wiki Link
The Battalion,http://www.thebatt.com
The Baylor Lariat,http://baylorlariat.com
The Brand,https://www.hsubrand.org/profile/timc/profile
The Collegian,URL Not Found
The Daily Campus,http://www.smu.edu
The Daily Cougar,http://www.thedailycougar.com/
TCU Daily Skiff,Dead Wiki Link
The Daily Texan,http://www.thedailytexan.com/
The Daily Toreador,http://www.dailytoreador.com
The Dateline Downtown,URL Not Found
The East Texan,Dead Wiki Link
The Flame,No URL Found
Hilltop Views,No URL Found
The Houstonian – Sam Houston State University,https://houstoniannews.com/
The Mercury – The University of Texas at Dallas,Dead Wiki Link
The Mesquite,No URL Found
North Texas Daily,URL Not Found
The Pacer,URL Not Found
The Paisano,http://www.paisano-online.com
The Pine Log,Dead Wiki Link
The Prospector,No URL Found
Ram Page,No URL Found
The Rattler,Dead Wiki Link
Rice Thresher,URL Not Found
The Shorthorn,https://www.theshorthorn.com/
The Signal,Dead Wiki Link
Trinitonian,Dead Wiki Link
The Logos,No URL Found
